,Instrument,ESG Score,Date,Environmental Pillar Score,Governance Pillar Score,Social Pillar Score,Carbon Credit,Carbon Offsets/Credits,Internal Carbon Price per Tonne Score Score,Women Managers,Women Employees,Gender Pay Gap Percentage,Water Recycled,Water Recycled Score,Energy Use Total,Policy Energy Efficiency,Waste Total,Waste Recycled Total
0,24CSm.BK,,,,,,,,,,,,,,,,,
1,24CSmf.BK,,,,,,,,,,,,,,,,,
2,24CSmol.BK,,,,,,,,,,,,,,,,,
3,24CSmva.BK,,,,,,,,,,,,,,,,,
4,2S.BK,,,,,,,,,,,,,,,,,
5,2Sf.BK,,,,,,,,,,,,,,,,,
6,2Sol.BK,,,,,,,,,,,,,,,,,
7,2Sva.BK,,,,,,,,,,,,,,,,,
8,3BBIFu.BK,,,,,,,,,,,,,,,,,
9,3BBIFuol.BK,,,,,,,,,,,,,,,,,
10,3BBIFuss.BK,,,,,,,,,,,,,,,,,
11,3BBIFuva.BK,,,,,,,,,,,,,,,,,
12,3K-BAT.BK,,,,,,,,,,,,,,,,,
13,3K-BATol.BK,,,,,,,,,,,,,,,,,
14,3K-BATva.BK,,,,,,,,,,,,,,,,,
15,3K-BATz.BK,,,,,,,,,,,,,,,,,
16,7UP.BK,,,,,,,,,,,,,,,,,
17,7UPf.BK,,,,,,,,,,,,,,,,,
18,7UPol.BK,,,,,,,,,,,,,,,,,
19,7UPss.BK,,,,,,,,,,,,,,,,,
20,7UPva.BK,,,,,,,,,,,,,,,,,
363,AOTva.BK,68.7571282069522,2018-09-30,60.8954973118279,51.8518518518519,85.2597402597403,,,,34.9,39.76,,401000.0,31.25,2380950.0,True,31852.6,3055.08
364,AOTva.BK,65.8219768674149,2019-09-30,55.1146010186757,49.8430594703692,83.6526619931794,,,,35.1,40.22,,496000.0,6.25,2477920.0,True,35619.6,2762.66
365,AOTva.BK,59.9217629369631,2020-09-30,47.7244935682936,33.6481839673329,85.5552292999887,,,,33.11,39.96,,554000.0,19.2307692307692,1963310.0,True,26260.0,1599.06
366,AOTva.BK,55.5286567985781,2021-09-30,35.78190743338,42.4610086254435,77.5985177989117,,,,33.78,39.94,,406000.0,32.1428571428571,1646160.0,True,17746.5,770.013
367,AP.BK,24.0535646361822,2019-12-31,5.51586756422585,31.2530883529944,33.7992465629205,,,,,,,,,,True,,
368,AP.BK,20.0553391597968,2020-12-31,4.5645821157218,19.3466580700623,34.3126842195,,,,,,,,,,True,,
369,AP.BK,15.6590146371638,2021-12-31,4.08649266526957,16.6758227466159,24.904435664478,,,,,,,,,,True,,
370,AP.BK,16.3570091851496,2022-12-31,6.22507930776571,19.8164983164983,22.1158362307153,,,,,,,,,,True,,
371,APCO.BK,,,,,,,,,,,,,,,,,
372,APCOf.BK,,,,,,,,,,,,,,,,,
373,APCOol.BK,,,,,,,,,,,,,,,,,
374,APCOva.BK,,,,,,,,,,,,,,,,,
375,APCS.BK,,,,,,,,,,,,,,,,,
376,APCSf.BK,,,,,,,,,,,,,,,,,
377,APCSol.BK,,,,,,,,,,,,,,,,,
378,APCSva.BK,,,,,,,,,,,,,,,,,
379,APEX.BK,,,,,,,,,,,,,,,,,
380,APEXf.BK,,,,,,,,,,,,,,,,,
381,APEXol.BK,,,,,,,,,,,,,,,,,
382,APEXva.BK,,,,,,,,,,,,,,,,,
