"date","mkt","smb","hml","rmw","cma","E","S","G","Total"
2014-04-24,0.002195196,-0.004196272,-0.000786686,-0.00353308,0.001751714,-0.000157665963551654,-0.000108484207001949,-0.000135211975847408,-0.000161295322756225
2014-04-25,0.001379527,0.002024363,0.002265447,-5.89e-05,0.003485062,-5.04204197220978e-06,-2.48073367649181e-06,1.84571151437412e-05,-2.1156836242827e-05
2014-04-28,0.003112101,-0.002698975,0.003819341,0.004794427,0.00266293,1.31495009426492e-05,1.82391524924649e-06,1.95252057137878e-05,-4.02006495006282e-05
2014-04-29,0.005040832,0.000167046,-0.00246397,-0.002903577,-0.010203334,6.67820504482898e-05,1.59765845300541e-05,-8.70249315859739e-05,-3.9040385438571e-05
2014-04-30,-0.011402467,0.0025991,-0.001347455,0.002951028,-0.002953012,0.00010678973743621,-1.50495399602071e-05,4.71675991061428e-05,7.8139349077484e-05
2014-05-02,-0.000894779,0.002941314,-0.00025152,0.001857281,0.003070176,-1.82324969578257e-05,-5.97021440576735e-06,-5.62949224112698e-05,-4.11135339936924e-05
2014-05-06,-0.017735021,-0.001880479,0.004118377,-0.002660585,0.007330717,-0.000135829387399673,-0.000200053144040452,1.39294696937181e-05,-0.000120707060641114
2014-05-07,-0.000898661,-0.00147576,0.000737408,2.64e-06,0.002972737,-1.46979966565476e-05,-7.66571190999166e-05,-0.000144917890275167,-7.5081111652872e-06
2014-05-08,-0.001600032,-0.00045965,-0.005813281,-0.000308622,0.010637776,9.01496969983595e-05,-1.12720337515087e-06,-7.71915248172136e-05,-6.67580843399974e-06
2014-05-09,0.014384328,0.000922608,-0.007205353,-0.002673054,-0.000786888,-1.67653944497566e-06,-1.45009441154178e-05,-1.41503121140179e-05,2.61583673573931e-05
2014-05-12,-6.5e-05,-0.003499758,0.005099398,0.001849747,0.0009284,0.000107477795656033,-9.89752540351079e-05,-4.28834291907472e-05,-5.44397036426855e-05
2014-05-14,0.007592346,-0.002615565,-0.002330738,-0.002107104,-0.001833063,4.04092277707171e-05,7.65644018590757e-05,-2.44386633353604e-05,5.54594783349798e-05
2014-05-15,0.003780548,-0.001474281,-0.001300928,0.005144221,0.000465385,-1.77481806617226e-05,5.89984872538927e-05,5.93131784632028e-05,4.1425301873295e-05
2014-05-16,-0.011532566,0.005613579,0.002328547,0.000725862,0.001092849,-0.000170796364302273,-0.000165015211126397,-3.60762692350169e-05,-0.000153665509432633
2014-05-19,0.005902378,0.010124267,-0.00114095,0.004361288,0.003060022,-0.000119040453836693,-7.66705421759431e-05,-5.63367689200673e-05,-0.000139102551769452
2014-05-20,0.0013416,0.011116568,-0.009487755,0.001803833,0.002883952,-7.7581957758261e-05,-6.15950498195193e-05,-0.000149708523462057,-6.27264480306291e-05
2014-05-21,-0.006260104,0.006020849,-0.00519255,-0.000728095,0.005232186,-3.17774827574517e-05,-0.000111655499259353,-0.000121515711946279,-0.000100200806685116
2014-05-22,-0.006215847,0.001369716,0.009925835,-0.002768133,-0.007557272,-3.97672061958186e-05,9.93813614366051e-06,-1.56280135850661e-05,-6.77887272429307e-05
2014-05-23,0.003347553,0.004151623,0.006633386,-0.008165339,-0.014093379,7.3428696348005e-05,0.000130356993866842,-1.87890748918176e-05,4.83470823445948e-05
