,G,E,S
23/3/2016,-0.002717453,0.096095971,0.035075738
24/3/2016,-0.094606134,-0.149986456,-0.107278801
25/3/2016,0.004128252,0.066460229,0.046012549
28/3/2016,-0.044653696,0.023352459,0.023184623
29/3/2016,0.138601058,0.069616942,-0.030208992
30/3/2016,-0.014271655,-0.055994597,0.002214229
31/3/2016,-0.048617712,0.0714137,-0.054824395
1/4/2016,0.106622422,0.140752005,0.018278421
4/4/2016,-0.048328309,-0.014588601,-0.025573307
5/4/2016,-0.311795925,-0.200775397,-0.091161774
7/4/2016,-0.024970386,0.088050168,-0.247030097
8/4/2016,0.211857163,0.041741319,0.115161231
11/4/2016,-0.05462515,-0.073561595,-0.037391073
12/4/2016,0.070391585,0.109961991,0.075099485
18/4/2016,0.101065044,0.117446154,-0.035028888
19/4/2016,0.093747527,0.055616863,0.234626035
20/4/2016,-0.020019697,0.01887347,0.067337669
21/4/2016,-0.019355166,0.013494364,0.025892268
22/4/2016,-0.023518507,-0.056971235,-0.089415794
25/4/2016,0.023177076,-0.155699798,0.001550759
26/4/2016,0.341737754,-0.155387771,0.109545198
27/4/2016,-0.123718284,-0.121052667,-0.037483934
28/4/2016,-0.099383405,-0.151340827,0.041918332
29/4/2016,0.086198542,0.146233376,0.036065195
3/5/2016,-0.042285121,0.005989787,0.008576651
4/5/2016,-0.099510717,-0.096908813,-0.149441854
9/5/2016,0.102394872,0.088612006,0.245387357
10/5/2016,0.031873534,-0.044828876,-0.061425547
11/5/2016,-0.044556686,-0.241498758,-0.152577174
12/5/2016,0.155570667,0.469297719,0.232170737
13/5/2016,0.120648915,-0.131542081,-0.102499646
16/5/2016,-0.099586683,0.125030883,0.047902289
17/5/2016,0.094770995,0.005449297,0.193892988
18/5/2016,-0.137434566,-0.056226224,0.096163552
19/5/2016,-0.029533199,-0.084600057,-0.118908065
23/5/2016,-0.132768731,0.1070911,-0.003845653
24/5/2016,-0.02596172,-0.103725997,0.045037644
25/5/2016,0.11485349,-0.016168959,0.06522131
26/5/2016,0.102343677,0.004003585,0.11476729
27/5/2016,0.148395535,0.051713423,0.104209642
30/5/2016,-0.074637251,0.057363083,0.063038688
31/5/2016,0.026355511,-0.104982432,-0.047274297
1/6/2016,0.028761672,-0.067127993,0.053274601
2/6/2016,0.059383929,0.107892382,0.080476758
3/6/2016,0.109676117,0.064414996,0.020508609
6/6/2016,0.062791801,-0.107864065,-0.064086714
7/6/2016,-0.118145928,-0.062184709,-0.01202007
8/6/2016,-0.01751595,0.112580148,0.039424603
9/6/2016,0.028413135,0.061121339,0.000491096
10/6/2016,-0.13442912,-0.035339875,-0.162127066
13/6/2016,0.097251175,-0.09034306,0.040569309
14/6/2016,-0.067562629,-0.053821453,0.041288349
15/6/2016,-0.017813271,0.14040316,0.044257691
16/6/2016,-0.229635688,-0.129314176,-0.135319712
17/6/2016,-0.030425107,0.109744705,0.128273422
20/6/2016,0.124007637,-0.050984299,0.017101122
21/6/2016,0.043070622,-0.061067641,0.068672875
22/6/2016,-0.059480037,-0.136968325,-0.031239555
23/6/2016,0.001700194,0.100703272,0.114247606
24/6/2016,-0.338139747,-0.211855176,-0.201435781
27/6/2016,-0.113501819,0.004082488,-0.104418
28/6/2016,0.069945615,0.013529941,-0.030471484
29/6/2016,0.041186149,0.149674518,0.085246542
30/6/2016,0.161446392,-0.005770534,0.073495346
4/7/2016,-0.010479348,0.053294605,0.007564851
5/7/2016,-0.143513234,-0.065254217,-0.048204879
6/7/2016,0.202207799,-0.066293428,0.115855155
7/7/2016,-0.07439749,0.039309039,-0.045115173
8/7/2016,0.002824126,-0.037266123,-0.028408484
11/7/2016,0.158962069,-0.111731837,0.021535226
12/7/2016,0.006388038,-0.052254012,-0.023300324
13/7/2016,0.022205033,0.139614975,0.011934588
14/7/2016,0.057922374,-0.057442119,0.039728549
15/7/2016,-0.107673566,-0.075289922,-0.058189329
20/7/2016,0.146946459,-0.019809149,0.120663611
21/7/2016,-0.058315854,-0.020667231,-0.090150326
22/7/2016,0.083843098,-0.093404429,0.12624181
25/7/2016,-0.210592686,-0.133193122,-0.079063097
26/7/2016,-0.01302626,-0.166894665,0.076679776
27/7/2016,0.080974435,-0.07630823,0.031681186
