,pf
2015-09-15,0.11074029690874321
2015-09-16,-0.02707385171476817
2015-09-17,0.04242144499302869
2015-09-18,-0.1176087585351947
2015-09-21,-0.04759849946166306
2015-09-22,0.002692326020988678
2015-09-23,0.0044655418997422425
2015-09-24,-0.036912137320205374
2015-09-25,-0.031243611830717555
2015-09-28,-0.016486617988070607
2015-09-29,0.0799343696765017
2015-09-30,0.059367980082533744
2015-10-01,-0.13884292941417753
2015-10-02,-0.08767448931733368
2015-10-05,-0.03105549522543638
2015-10-06,0.010990741730789733
2015-10-07,0.24280164359959266
2015-10-08,-0.13290348020030052
2015-10-09,0.07266647740597654
2015-10-12,0.026260286991018345
2015-10-13,-0.13486242877464938
2015-10-14,-0.1293697695023852
2015-10-15,0.07678216663216908
2015-10-16,0.1325347099985661
